Unique Proposal ID	CA ID	Proposal ID	Question ID	Score	Flagged
UM5UZBiNh	1	350599	1	5	TRUE
UM5UZBiNh	2	350599	1	3	TRUE
UM5UZBiNh	9	350599	1	5	TRUE
UM5UZBiNh	11	350599	1	5	TRUE
UM5UZBiNh	13	350599	1	4	TRUE
UM5UZBiNh	14	350599	1	5	TRUE
UM5UZBiNh	15	350599	1	5	TRUE
UM5UZBiNh	16	350599	1	5	TRUE
UM5UZBiNh	18	350599	1	4	TRUE
UM5UZBiNh	19	350599	1	5	TRUE
UM5UZBiNh	20	350599	1	5	TRUE
UM5UZBiNh	1	350599	2	4	TRUE
UM5UZBiNh	2	350599	2	4	TRUE
UM5UZBiNh	9	350599	2	3	TRUE
UM5UZBiNh	11	350599	2	5	TRUE
UM5UZBiNh	13	350599	2	4	TRUE
UM5UZBiNh	14	350599	2	4	FALSE
UM5UZBiNh	15	350599	2	5	TRUE
UM5UZBiNh	16	350599	2	4	TRUE
UM5UZBiNh	18	350599	2	3	TRUE
UM5UZBiNh	19	350599	2	5	TRUE
UM5UZBiNh	20	350599	2	4	TRUE
UM5UZBiNh	1	350599	3	4	TRUE
UM5UZBiNh	2	350599	3	3	TRUE
UM5UZBiNh	9	350599	3	2	TRUE
UM5UZBiNh	11	350599	3	5	TRUE
UM5UZBiNh	13	350599	3	4	TRUE
UM5UZBiNh	14	350599	3	4	TRUE
UM5UZBiNh	15	350599	3	5	TRUE
UM5UZBiNh	16	350599	3	5	TRUE
UM5UZBiNh	18	350599	3	3	TRUE
UM5UZBiNh	19	350599	3	3	TRUE
UM5UZBiNh	20	350599	3	5	TRUE
UM5UZBiNj	22	350601	1	5	FALSE
UM5UZBiNj	2	350601	1	2	TRUE
UM5UZBiNj	14	350601	1	5	FALSE
UM5UZBiNj	11	350601	1	2	TRUE
UM5UZBiNj	16	350601	1	4	FALSE
UM5UZBiNj	18	350601	1	5	FALSE
UM5UZBiNj	22	350601	2	3	TRUE
UM5UZBiNj	2	350601	2	4	FALSE
UM5UZBiNj	14	350601	2	3	TRUE
UM5UZBiNj	11	350601	2	4	FALSE
UM5UZBiNj	16	350601	2	4	FALSE
UM5UZBiNj	18	350601	2	5	FALSE
UM5UZBiNj	22	350601	3	4	FALSE
UM5UZBiNj	2	350601	3	5	FALSE
UM5UZBiNj	14	350601	3	5	FALSE
UM5UZBiNj	11	350601	3	3	TRUE
UM5UZBiNj	16	350601	3	4	FALSE
UM5UZBiNj	18	350601	3	4	FALSE
UM5UZBiNq	25	350608	1	5	FALSE
UM5UZBiNq	11	350608	1	2	FALSE
UM5UZBiNq	26	350608	1	4	FALSE
UM5UZBiNq	27	350608	1	4	FALSE
UM5UZBiNq	18	350608	1	5	FALSE
UM5UZBiNq	25	350608	2	3	FALSE
UM5UZBiNq	11	350608	2	1	FALSE
UM5UZBiNq	26	350608	2	3	FALSE
UM5UZBiNq	18	350608	2	4	FALSE
UM5UZBiNq	25	350608	3	5	FALSE
UM5UZBiNq	11	350608	3	1	FALSE
UM5UZBiNq	26	350608	3	3	FALSE
UM5UZBiNq	27	350608	3	4	FALSE
UM5UZBiNq	18	350608	3	5	FALSE
UM5UZBiNr	11	350609	1	1	FALSE
UM5UZBiNr	28	350609	1	3	FALSE
UM5UZBiNr	29	350609	1	2	FALSE
UM5UZBiNr	13	350609	1	3	FALSE
UM5UZBiNr	18	350609	1	5	FALSE
UM5UZBiNr	11	350609	2	1	FALSE
UM5UZBiNr	28	350609	2	1	FALSE
UM5UZBiNr	29	350609	2	1	FALSE
UM5UZBiNr	13	350609	2	3	FALSE
UM5UZBiNr	18	350609	2	3	FALSE
UM5UZBiNr	11	350609	3	1	FALSE
UM5UZBiNr	28	350609	3	1	FALSE
UM5UZBiNr	29	350609	3	1	FALSE
UM5UZBiNr	13	350609	3	1	FALSE
UM5UZBiNr	18	350609	3	1	FALSE
UM5UZBiNs	30	350610	1	1	FALSE
UM5UZBiNs	25	350610	1	2	FALSE
UM5UZBiNs	31	350610	1	2	FALSE
UM5UZBiNs	11	350610	1	2	FALSE
UM5UZBiNs	13	350610	1	3	FALSE
UM5UZBiNs	27	350610	1	2	FALSE
UM5UZBiNs	30	350610	2	1	FALSE
UM5UZBiNs	25	350610	2	3	FALSE
UM5UZBiNs	31	350610	2	3	FALSE
UM5UZBiNs	11	350610	2	2	FALSE
UM5UZBiNs	13	350610	2	3	FALSE
UM5UZBiNs	27	350610	2	2	FALSE
UM5UZBiNs	30	350610	3	1	FALSE
UM5UZBiNs	25	350610	3	3	FALSE
UM5UZBiNs	31	350610	3	4	FALSE
UM5UZBiNs	11	350610	3	2	FALSE
UM5UZBiNs	13	350610	3	3	FALSE
UM5UZBiNs	27	350610	3	2	FALSE
UM5UZBiNu	33	350612	1	5	FALSE
UM5UZBiNu	30	350612	1	2	FALSE
UM5UZBiNu	25	350612	1	4	FALSE
UM5UZBiNu	31	350612	1	4	FALSE
UM5UZBiNu	11	350612	1	3	FALSE
UM5UZBiNu	33	350612	2	2	FALSE
UM5UZBiNu	30	350612	2	1	FALSE
UM5UZBiNu	25	350612	2	1	FALSE
UM5UZBiNu	31	350612	2	3	FALSE
UM5UZBiNu	11	350612	2	1	FALSE
UM5UZBiNu	27	350612	2	5	FALSE
UM5UZBiNu	33	350612	3	3	FALSE
UM5UZBiNu	30	350612	3	2	FALSE
UM5UZBiNu	25	350612	3	3	FALSE
UM5UZBiNu	31	350612	3	3	FALSE
UM5UZBiNu	11	350612	3	1	FALSE
UM5UZBiNu	27	350612	3	4	FALSE
UM5UZBiNy	35	350616	1	5	FALSE
UM5UZBiNy	30	350616	1	1	FALSE
UM5UZBiNy	25	350616	1	2	FALSE
UM5UZBiNy	11	350616	1	4	FALSE
UM5UZBiNy	37	350616	1	1	FALSE
UM5UZBiNy	26	350616	1	4	FALSE
UM5UZBiNy	35	350616	2	4	FALSE
UM5UZBiNy	30	350616	2	1	FALSE
UM5UZBiNy	25	350616	2	3	FALSE
UM5UZBiNy	11	350616	2	3	FALSE
UM5UZBiNy	37	350616	2	1	FALSE
UM5UZBiNy	26	350616	2	4	FALSE
UM5UZBiNy	35	350616	3	4	FALSE
UM5UZBiNy	30	350616	3	1	FALSE
UM5UZBiNy	25	350616	3	2	FALSE
UM5UZBiNy	11	350616	3	2	FALSE
UM5UZBiNy	37	350616	3	1	FALSE
UM5UZBiNy	26	350616	3	3	FALSE
UM5UZBiN7	11	350625	1	5	FALSE
UM5UZBiN7	33	350625	1	5	FALSE
UM5UZBiN7	40	350625	1	5	FALSE
UM5UZBiN7	11	350625	2	5	FALSE
UM5UZBiN7	33	350625	2	5	FALSE
UM5UZBiN7	40	350625	2	2	FALSE
UM5UZBiN7	11	350625	3	5	FALSE
UM5UZBiN7	33	350625	3	5	FALSE
UM5UZBiN7	40	350625	3	2	FALSE
UM5UZBiN9	41	350627	1	1	FALSE
UM5UZBiN9	42	350627	1	3	FALSE
UM5UZBiN9	11	350627	1	1	FALSE
UM5UZBiN9	43	350627	1	1	FALSE
UM5UZBiN9	20	350627	1	1	FALSE
UM5UZBiN9	27	350627	1	5	FALSE
UM5UZBiN9	44	350627	1	2	FALSE
UM5UZBiN9	41	350627	2	1	FALSE
UM5UZBiN9	42	350627	2	1	FALSE
UM5UZBiN9	11	350627	2	1	FALSE
UM5UZBiN9	43	350627	2	1	FALSE
UM5UZBiN9	20	350627	2	1	FALSE
UM5UZBiN9	27	350627	2	3	FALSE
UM5UZBiN9	44	350627	2	1	FALSE
UM5UZBiN9	41	350627	3	1	FALSE
UM5UZBiN9	42	350627	3	1	FALSE
UM5UZBiN9	11	350627	3	1	FALSE
UM5UZBiN9	43	350627	3	1	FALSE
UM5UZBiN9	20	350627	3	1	FALSE
UM5UZBiN9	27	350627	3	2	FALSE
UM5UZBiN9	44	350627	3	1	FALSE
UM5UZBiOB	13	350629	1	4	FALSE
UM5UZBiOB	35	350629	1	5	FALSE
UM5UZBiOB	42	350629	1	4	FALSE
UM5UZBiOB	11	350629	1	4	FALSE
UM5UZBiOB	26	350629	1	3	FALSE
UM5UZBiOB	13	350629	2	4	FALSE
UM5UZBiOB	35	350629	2	4	FALSE
UM5UZBiOB	42	350629	2	4	FALSE
UM5UZBiOB	11	350629	2	3	FALSE
UM5UZBiOB	26	350629	2	2	FALSE
UM5UZBiOB	13	350629	3	3	FALSE
UM5UZBiOB	35	350629	3	3	FALSE
UM5UZBiOB	42	350629	3	4	FALSE
