Challenge	Proposal ID	Short Title
Catalyst Onboarding	350672	Inner View with KEWW Video Series
Catalyst Onboarding	350675	Catalyst Site Education resources
Catalyst Onboarding	350686	Catalyst Site Improve proposal data
Catalyst Onboarding	350704	Catalyst Catapult
Catalyst Onboarding	350706	WITHDRAWN
Catalyst Onboarding	350749	Q A site cardano stackexchange com
Catalyst Onboarding	350835	Charles Hoskinson in Russian
Catalyst Onboarding	350869	Incentivizing Interaction Phase 2
Catalyst Onboarding	350982	Online cardano store for SPO s
Catalyst Onboarding	351093	Sponsorship for Brazilian youtuber
Catalyst Onboarding	351363	Team For Me – People Before Ideas
Catalyst Onboarding	351438	withdrawn
Catalyst Onboarding	352422	ALDEA Catalyst Spanish Support Site
Catalyst Onboarding	352583	Cardano Catalyst Jobs Services
Catalyst Onboarding	352586	Crypto Targeted Promotion Campaign
Catalyst Onboarding	352611	WADA Uni Students Catalyst Registry
Catalyst Onboarding	352612	Quantum Collective Community Hub
Catalyst Onboarding	352744	Barriers to Entry = Proposals
Catalyst Onboarding	352777	Incentivized Participation
Catalyst Onboarding	352778	WITHDRAW Bot to pin messages
Catalyst Onboarding	352779	PCDiscord Bot to Assign Roles
Catalyst Onboarding	352780	PCDiscord Bot to create channels
Catalyst Onboarding	352786	WITHDRAW Bot to answer questions
Catalyst Onboarding	352790	WITHDRAW Telegram to Discord
Catalyst Onboarding	352796	WITHDRAW Bot to help govern
Catalyst Onboarding	352801	PCDiscord Miro board for Onboarding
Catalyst Onboarding	352804	PCDiscord Discord Partnership
Catalyst Onboarding	352816	WITHDRAW Bot for guidance
Catalyst Onboarding	352820	WITHDRAW Bot for meetup announces
DApps Integrations	350601	PlayerMint P2 MetaVerse Toolkit
DApps Integrations	350608	Valorem Thriving local economy
DApps Integrations	350610	Prepaid Debit Card
DApps Integrations	350612	Decentralized Content Platform
DApps Integrations	350616	Cardano Support for Point of Sale
DApps Integrations	350627	Responsible Investing Dapp
DApps Integrations	350629	Back to Basis - Tax compliance tool
DApps Integrations	350634	Integrate SoMee social onto Cardano
DApps Integrations	350661	ChainEscrow On chain escrow dApp
DApps Integrations	350667	Dapp to control monetize your data
DApps Integrations	350674	Animal Conservation NFT Rewards
DApps Integrations	350676	Decentralized exchange on Cardano
DApps Integrations	350701	Music Industry Money Made Fair
DApps Integrations	350723	NFT for each CARDANO Smart Contract
DApps Integrations	350727	P2P NFT lending borrowing
DApps Integrations	350736	RAY Wallet
DApps Integrations	350744	cardano stackexchange com
DApps Integrations	350758	DEED IT FORWARD
DApps Integrations	350773	DaPassword a password manager
DApps Integrations	350808	Community Launchpad DEX
DApps Integrations	350809	Food Delivery App + Low Commissions
DApps Integrations	350830	Provable agricultural provenance
DApps Integrations	350886	On Chain Trust
DApps Integrations	350931	WrapAssets io
DApps Integrations	350998	Insurance Claims Processing
DApps Integrations	351002	Decentralised maps and nfts
DApps Integrations	351004	Youbiquitor Dapp for gig workers
DApps Integrations	351088	Kingdom Builder
DApps Integrations	351096	WITHDRAWN
DApps Integrations	351102	Magento 2 ada payments plugin
DApps Integrations	351108	A DEX aggregator built on Cardano
DApps Integrations	351116	Euclid Net Cardano Data Analytics
DApps Integrations	351119	graffiti NFT marketplace
DApps Integrations	351135	Native tokens for physical assets
DApps Integrations	351183	Crowdano Crowdfunding Platform
DApps Integrations	351200	ADALancer
DApps Integrations	351225	Decentralized real estate
DApps Integrations	351232	Bakground
DApps Integrations	351233	NFTs That Mimic Biological Systems
DApps Integrations	351262	Prsona Dapp for political personas
DApps Integrations	351295	Decentralized version of ebay
DApps Integrations	351318	Micro Governance w NFT 🏡
DApps Integrations	351321	Wrong Section Withdrawn
DApps Integrations	351337	WITHDRAWN REVISITING THE IDEA
DApps Integrations	351359	Smart Contract Based Paper Wallets
DApps Integrations	351472	DEFI Billing WITHDRAW from category
DApps Integrations	351487	WooCommerce Payments Plugin
DApps Integrations	351579	Trusted time tracking and billing
DApps Integrations	351653	nft maker io Full NFT platform
DApps Integrations	351663	The Quest for ADA
DApps Integrations	351682	Artano The NFT Art Marketplace
DApps Integrations	351697	Farm to Fork Supply Chain Insects
DApps Integrations	351711	iGIVit The Future of Giving
DApps Integrations	351716	Gero Wallet Cardano s MetaMask
DApps Integrations	351778	Treda A transactional carbon tax
DApps Integrations	351877	T0 Intraday Liquidity Management
DApps Integrations	351980	Data driven Cardano services
DApps Integrations	352004	SPRD Advanced delegation system
DApps Integrations	352031	Insurance Claims Processing
DApps Integrations	352152	NFT DAO EZ Ticket dispenser
DApps Integrations	352166	Crafting game with MANY tokens
DApps Integrations	352180	Raffly io the simple way to raffle
DApps Integrations	352209	ETF Cardano Token
DApps Integrations	352255	Genome App Monetise your Genome
DApps Integrations	352259	Font Management App
DApps Integrations	352276	Mosaic fNFT Native Token Mint
DApps Integrations	352281	MUSIC STARTUPS
DApps Integrations	352284	dApps for Designers and Creatives
DApps Integrations	352327	RedToken Blood Donation Dapp
DApps Integrations	352330	DubT contract driven livestream NFT
DApps Integrations	352382	WITHDRAW
DApps Integrations	352393	REDRAWN Crowdfunding VAS
DApps Integrations	352435	Burblr let s make books fun
DApps Integrations	352469	Plant Me
DApps Integrations	352482	Cardano Connector (Metamask-like)
DApps Integrations	352518	ALLIN Social Betting Platform
DApps Integrations	352537	Book Tokenization Through Cardano
DApps Integrations	352553	Sport ADA Intro adoption
DApps Integrations	352554	Cardmintano - Native Token Minter
DApps Integrations	352577	NFTDOT IO enable adoption of NFT FT
DApps Integrations	352596	Ensuro A Decentralized Insurance
DApps Integrations	352614	Fanance Celebrity Trading Platform
DApps Integrations	352643	CardanoTales CNFTs based RPG game
DApps Integrations	352678	UnicornHire Recruitment Platform
DApps Integrations	352685	NFT platform for art organizations
DApps Integrations	352687	DApp to manage certifications
DApps Integrations	352696	Banking The Unbanked
DApps Integrations	352701	Cardacity a trading card game
DApps Integrations	352702	Promptous Dental Benefits DApp
DApps Integrations	352723	Wrap NTFs
DApps Integrations	352725	BitBunny io Adopt animals w NFT
DApps Integrations	352746	Low price place
